"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Produção de origem animal (Mil litros)"
"Brasil e Município";"Ano x Tipo de produto de origem animal"
"Brasil e Município";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Brasil e Município";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite"
"Arroio do Tigre (RS)";"2776";"2682";"2647";"2675";"3295";"2082";"2093";"2115";"2087";"1974";"2020";"2042";"2396";"2387";"2745";"2799";"2836";"2841";"3454";"3815";"3842";"3933";"7489";"4839";"4853";"4877";"4891";"2326";"2416";"2348";"2411";"2415";"2484";"2486";"2490";"2546";"2558";"2588";"2596";"7387";"8500";"8000";"10000";"9000"
"Arroio Grande (RS)";"1998";"1891";"1925";"1987";"1825";"2022";"2981";"2919";"2766";"2785";"2660";"2643";"2599";"2414";"1360";"1417";"1266";"1236";"1404";"1409";"1395";"1364";"2131";"2046";"2074";"1858";"2023";"2004";"2152";"2145";"2159";"2097";"2037";"2030";"2394";"2668";"2935";"3522";"2334";"3226";"3067";"3812";"2951";"3072"
"Arvorezinha (RS)";"2980";"3327";"3442";"3443";"3223";"3216";"4275";"4032";"4210";"4204";"4473";"4691";"5030";"5151";"5783";"8003";"8227";"8219";"8342";"5130";"5290";"5316";"4164";"4306";"4405";"4383";"4531";"6179";"6201";"6201";"6231";"6350";"6477";"6479";"6673";"6679";"6881";"6934";"7100";"7185";"6980";"6917";"6764";"6311"
"Augusto Pestana (RS)";"2391";"2604";"2547";"2494";"2072";"2100";"2872";"3119";"2989";"2977";"3094";"3090";"3509";"5140";"7204";"7285";"7341";"7668";"8165";"8165";"11950";"11900";"16500";"16900";"18700";"19500";"19500";"20000";"18000";"16500";"18800";"22000";"18250";"22000";"24800";"24800";"33000";"38000";"38000";"42000";"45900";"50000";"51000";"50000"
"Áurea (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3685";"3712";"3782";"3947";"2257";"2277";"2450";"2204";"2205";"2174";"2197";"2016";"1890";"2048";"2126";"2111";"2174";"2282";"3758";"3870";"4017";"4297";"4300";"4650";"7542";"7835";"7500";"6446";"8725"
"Bagé (RS)";"12127";"11149";"11213";"11283";"10310";"12000";"11137";"12229";"11207";"21874";"22823";"24672";"21708";"23280";"22082";"20144";"20986";"26994";"30665";"22903";"24450";"25377";"22046";"22316";"21913";"24292";"25352";"2423";"2456";"2478";"2483";"2456";"2520";"2489";"2501";"2551";"2552";"2577";"2552";"4998";"5012";"5764";"6513";"7556"
"Balneário Pinhal (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"77";"77";"75";"75";"72";"72";"91";"87";"78";"80";"74";"74";"74";"83";"85";"80";"-";"-";"-";"-";"1"
"Barão (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3772";"4075";"4172";"4681";"4800";"4944";"4930";"6615";"5450";"5390";"5650";"5600";"7080";"6426";"5605";"7130";"6090";"6088";"5881";"5005";"6414";"6565";"6527";"6896";"6500";"7000";"6300";"6484";"6905"
"Barão de Cotegipe (RS)";"1971";"2297";"2374";"2390";"1800";"1450";"2561";"2550";"2552";"2700";"2890";"2900";"3208";"3262";"5100";"6971";"7008";"7196";"7258";"7003";"7062";"7250";"6535";"6550";"6650";"6811";"6750";"6516";"6732";"7164";"7245";"7164";"7307";"11365";"11731";"12101";"10742";"10801";"15000";"18231";"22700";"15000";"14200";"15000"
"Barão do Triunfo (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"379";"371";"363";"262";"262";"700";"4976";"4976";"4976";"940";"876";"878";"950";"1017";"1120";"428";"428";"428";"428";"400";"950";"984";"900";"1000";"300"
