"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Produção de origem animal (Mil litros)"
"Brasil e Município";"Ano x Tipo de produto de origem animal"
"Brasil e Município";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Brasil e Município";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite"
"Encruzilhada do Sul (RS)";"2666";"3551";"2557";"2581";"2220";"2475";"4349";"4384";"4326";"4920";"4762";"4624";"4438";"4389";"4511";"3669";"4280";"1535";"870";"561";"612";"438";"1877";"2253";"2086";"2148";"2206";"2052";"1932";"1950";"1927";"1802";"1867";"885";"885";"885";"885";"640";"700";"400";"400";"600";"560";"1900"
"Engenho Velho (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"910";"1025";"1211";"2512";"2713";"2690";"2441";"1991";"2260";"2371";"2195";"2061";"2410";"3121";"2452";"2519";"2347";"2340";"2407";"2496";"2971";"2670";"2264";"2640";"3367"
"Entre-Ijuís (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"5760";"6130";"5850";"5500";"5780";"6850";"6992";"7500";"6800";"6800";"6700";"6750";"7200";"7272";"7360";"7240";"6500";"9500";"7500";"7700";"7474";"7539";"7510";"7510";"9000";"24000";"28000";"28000";"12000"
"Entre Rios do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1578";"1584";"1630";"1630";"1654";"1660";"1820";"1484";"1480";"1462";"1480";"1491";"1443";"1471";"1499";"1536";"1526";"1499";"2286";"2061";"2150";"2100";"2460";"2125";"4465";"3750";"4873";"5063";"5070"
"Erebango (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1394";"1656";"1750";"1831";"1863";"1999";"1861";"1400";"1400";"1409";"1471";"1624";"1713";"1862";"1915";"2085";"2364";"2507";"3775";"3806";"3886";"4070";"4211";"4180";"5685";"5431";"5253";"5400";"6200"
"Erechim (RS)";"5733";"6207";"6246";"6269";"5444";"5200";"6923";"6780";"6985";"6960";"7279";"7500";"8148";"8284";"10503";"8903";"8979";"9209";"9214";"10322";"10532";"10695";"11021";"11791";"10604";"10846";"11253";"8801";"9681";"9883";"10405";"10160";"10972";"12827";"12922";"13000";"12327";"13495";"13850";"15850";"16801";"17350";"16250";"19480"
"Ernestina (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"7436";"708";"925";"1402";"1843";"1818";"3103";"4993";"4489";"5501";"5833";"5729";"7159";"6185";"7128";"7305";"8180";"7768";"8350";"14377";"14406";"14776";"15918";"15334";"14731";"11649";"15288";"15686";"16003"
"Herval (RS)";"1448";"1231";"1227";"1247";"1872";"1986";"2483";"2681";"2775";"2630";"2643";"2576";"2627";"2151";"2984";"3048";"3197";"3174";"3185";"3053";"3043";"2828";"1513";"1482";"1458";"1531";"1607";"1046";"1244";"1246";"1330";"1134";"941";"1068";"1260";"1527";"1588";"1541";"2043";"2519";"2340";"1896";"2800";"1800"
"Erval Grande (RS)";"1752";"1928";"1986";"1996";"1600";"2650";"3804";"3780";"3721";"4000";"4243";"4441";"4155";"4195";"3126";"3283";"3320";"3222";"3234";"3273";"3300";"3510";"3578";"3300";"3092";"3123";"3128";"3177";"3273";"3331";"3422";"3580";"3509";"9884";"10326";"10397";"10177";"10251";"11205";"6284";"6840";"5197";"6284";"6285"
"Erval Seco (RS)";"1741";"2362";"2312";"2340";"1820";"3510";"2482";"3407";"2606";"2724";"3055";"2974";"2500";"2295";"2490";"2923";"3154";"3259";"3365";"2534";"1892";"3026";"4679";"4803";"4751";"4894";"5537";"3508";"3820";"3730";"4175";"7162";"7745";"8162";"21501";"21739";"24074";"24070";"24320";"25997";"29630";"26931";"28987";"28442"
"Esmeralda (RS)";"1460";"1396";"1442";"1490";"2549";"2600";"3730";"1656";"1637";"1489";"1345";"1345";"1468";"1786";"1354";"2365";"2500";"2500";"4180";"4644";"3800";"5184";"1550";"1674";"1741";"1750";"1475";"1341";"1261";"1311";"265";"433";"612";"705";"720";"779";"1188";"1180";"1238";"1250";"1400";"1690";"1872";"2263"
"Esperança do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"4577";"4620";"5082";"2922";"3321";"4924";"4288";"4600";"6200";"6200";"6200";"6200";"7400";"10000";"14000";"16000";"16000";"15000";"12000";"14000";"14200"
"Espumoso (RS)";"3118";"2841";"2737";"2635";"3000";"3000";"4143";"3814";"3800";"2520";"2415";"2439";"2876";"2761";"2803";"2300";"3109";"3511";"4649";"5464";"5564";"6425";"10738";"11400";"11800";"12063";"12100";"11840";"11104";"10445";"9576";"10000";"11000";"10700";"10750";"11400";"11800";"11830";"11931";"12600";"13050";"13200";"13050";"16764"
"Estação (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"851";"990";"1100";"1110";"1179";"1236";"1170";"2230";"1671";"1715";"1890";"2135";"2254";"2208";"2222";"2452";"2536";"2722";"4118";"4499";"4608";"4781";"4900";"4871";"6685";"6794";"6160";"5945";"6300"
"Estância Velha (RS)";"393";"514";"502";"509";"490";"470";"464";"509";"446";"648";"479";"464";"598";"486";"521";"1152";"432";"439";"490";"490";"594";"528";"740";"706";"774";"774";"774";"2736";"4104";"2808";"2138";"1339";"1858";"1296";"1084";"864";"922";"792";"730";"710";"421";"449";"399";"412"
"Esteio (RS)";"312";"233";"230";"243";"392";"120";"257";"268";"257";"187";"177";"174";"93";"71";"60";"64";"60";"42";"41";"43";"219";"219";"212";"181";"145";"135";"117";"116";"102";"102";"87";"73";"58";"44";"29";"28";"27";"28";"28";"28";"27";"28";"28";"14"
"Estrela (RS)";"16723";"17483";"17396";"31821";"31010";"43604";"52148";"56700";"54853";"11602";"12519";"12832";"19300";"20183";"21975";"19186";"18373";"20421";"20895";"19443";"17828";"19646";"21600";"22000";"21000";"23000";"23100";"21800";"22245";"23600";"26970";"21800";"29096";"30766";"32024";"30763";"31000";"34600";"37950";"39475";"40990";"37350";"39000";"40000"
"Estrela Velha (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2554";"2557";"2561";"2570";"1300";"1294";"1264";"1268";"1279";"1282";"1290";"1297";"1297";"1304";"1773";"1790";"6569";"6584";"5800";"5600";"6500"
"Eugênio de Castro (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2230";"2410";"2400";"2400";"2500";"3180";"3240";"3500";"3330";"3330";"3300";"3315";"3320";"2675";"2695";"2278";"1980";"2640";"4300";"4308";"4334";"4559";"4542";"4580";"5200";"10000";"11000";"10500";"10000"
"Fagundes Varela (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2328";"2319";"2148";"2169";"2092";"2133";"1986";"2189";"1758";"1791";"1788";"1984";"1922";"4745";"4886";"5331";"5534";"5592";"9125";"8323";"8739";"8547";"8802";"8527";"12312";"13296";"12778";"12062";"12990"
"Farroupilha (RS)";"6098";"6117";"6238";"6119";"5641";"5768";"7514";"4021";"4499";"4521";"4396";"4575";"4760";"4779";"4855";"4012";"3931";"4076";"4813";"4773";"5132";"5002";"8395";"8848";"8770";"9209";"8650";"8417";"8581";"8338";"8171";"7762";"7141";"7498";"7873";"7794";"7850";"7820";"6914";"8103";"6468";"9434";"8017";"7300"
"Faxinal do Soturno (RS)";"1399";"1414";"1412";"1414";"622";"754";"485";"539";"506";"516";"541";"532";"577";"591";"2400";"2534";"2596";"2588";"2655";"848";"865";"895";"1621";"1328";"1321";"1309";"1227";"1301";"1296";"1290";"1129";"892";"974";"1020";"1017";"1022";"1003";"1036";"1073";"1434";"1200";"1400";"1800";"1600"
"Faxinalzinho (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1600";"1607";"1630";"1653";"1676";"1700";"1875";"1166";"1165";"1167";"1079";"1146";"1594";"1679";"1708";"1779";"1864";"1901";"3917";"3067";"3100";"3049";"2901";"2885";"5688";"3112";"3500";"3150";"3000"
"Fazenda Vilanova (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2300";"5130";"2494";"2494";"2000";"2548";"2300";"2880";"2933";"3500";"3560";"4599";"6767";"9300";"7800";"8745";"6000";"7719";"7719";"6074";"5000"
"Feliz (RS)";"3009";"4346";"4259";"4244";"3146";"5640";"9407";"7738";"9212";"6188";"6768";"7275";"6309";"5753";"6328";"4797";"4651";"4385";"4660";"1487";"1516";"1562";"2409";"2457";"2427";"2475";"2481";"2494";"2507";"2532";"2556";"2503";"2491";"2466";"2453";"2466";"2453";"2575";"4360";"4617";"4625";"3885";"3987";"728"
"Flores da Cunha (RS)";"2812";"3413";"3536";"3542";"3192";"3510";"4677";"4677";"4985";"5041";"5267";"5056";"5757";"5785";"5768";"5142";"4800";"4080";"3813";"3181";"3196";"3205";"2620";"2595";"2466";"2540";"2427";"2502";"2203";"2152";"2130";"1892";"1978";"1780";"1691";"1826";"1445";"1264";"1113";"946";"1080";"1021";"999";"1026"
"Floriano Peixoto (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1916";"1944";"2003";"2208";"2538";"2573";"2700";"3013";"3616";"3721";"4458";"4674";"4715";"4955";"5071";"4805";"5210";"5300";"3700";"3612";"3700"
"Fontoura Xavier (RS)";"1680";"2876";"3003";"3105";"2496";"2400";"2192";"2260";"1959";"2200";"2279";"2250";"2970";"2808";"2782";"1870";"1927";"1870";"1550";"1271";"1270";"1140";"2940";"3066";"3201";"3174";"3254";"2655";"3888";"4801";"3260";"6244";"5015";"4788";"12337";"12418";"15000";"14907";"18245";"18428";"19180";"20790";"21749";"21251"
"Formigueiro (RS)";"635";"597";"616";"622";"800";"850";"1400";"1577";"1399";"1340";"1160";"1146";"1400";"1100";"840";"810";"847";"880";"841";"854";"909";"967";"1016";"1028";"977";"981";"988";"1022";"1021";"927";"757";"615";"714";"726";"771";"791";"805";"795";"788";"804";"700";"700";"735";"735"
"Forquetinha (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"4508";"5365";"4571";"4028";"3300";"4733";"7000";"7345";"6430";"7110";"8000";"10500";"8320";"8390";"8300";"8000";"7713"
"Fortaleza dos Valos (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1300";"1427";"1419";"1320";"1519";"1477";"1533";"1552";"1676";"3072";"3189";"3751";"3869";"5528";"5600";"5915";"6206";"7665";"7638";"7424";"6393";"8000";"7833";"7900";"9900";"9980";"12511";"15569";"15500";"15552";"21005";"21404";"21890";"20736";"17739"
"Frederico Westphalen (RS)";"3963";"4550";"4688";"4428";"4419";"5564";"8070";"5640";"8470";"7194";"7537";"7570";"7500";"7720";"8306";"5843";"5867";"6061";"8317";"8596";"9462";"10911";"11700";"12467";"11911";"10896";"11056";"10618";"10656";"12254";"12555";"12695";"12300";"11193";"11162";"11217";"11217";"11247";"11649";"15700";"16500";"17500";"13000";"16910"
"Garibaldi (RS)";"5618";"5741";"5773";"5802";"5069";"4823";"9195";"9115";"10177";"10000";"8910";"8961";"10483";"9799";"10055";"9509";"9723";"9986";"9356";"9545";"9831";"8853";"9090";"6681";"5600";"5330";"5450";"6750";"6550";"5832";"6048";"5060";"4051";"3848";"3647";"3800";"4500";"4467";"4220";"3210";"3147";"3150";"1500";"1119"
"Garruchos (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"146";"149";"961";"1752";"1840";"1664";"1565";"1630";"1550";"1711";"1805";"1842";"1975";"1982";"2019";"2189";"2166";"2295";"2574";"2651";"2494";"2767";"2543";"2380";"2167"
"Gaurama (RS)";"3321";"3452";"3491";"3509";"3400";"3395";"7115";"6043";"7025";"5933";"5565";"5445";"6691";"6424";"6352";"3016";"3025";"3102";"3179";"1742";"1800";"1900";"4471";"4500";"4125";"4313";"4219";"4534";"5138";"5306";"5381";"5807";"5807";"6216";"6978";"6700";"6002";"6100";"8564";"11800";"12100";"12000";"10530";"10135"
"General Câmara (RS)";"1457";"1399";"1425";"1443";"1313";"1309";"1447";"1450";"1512";"1495";"1484";"1513";"1680";"1680";"1440";"1901";"2570";"2209";"2190";"2186";"2186";"2117";"1115";"922";"189";"189";"190";"55";"306";"150";"150";"150";"150";"720";"735";"730";"745";"1372";"1514";"1325";"1385";"1458";"1604";"1500"
"Gentil (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1000";"1490";"1568";"1835";"1587";"1681";"1726";"3007";"3056";"4836";"2448";"2275";"4894";"5224";"5905";"9673";"8806";"11025";"10986";"12219";"12284";"11649";"13593";"12336";"11723"
"Getúlio Vargas (RS)";"3304";"3707";"3693";"3682";"2852";"1980";"1456";"1494";"1518";"1920";"1790";"1995";"2127";"2154";"7115";"4181";"5004";"5050";"5300";"5631";"5768";"5846";"7154";"4858";"4888";"5357";"6406";"6531";"6720";"6795";"6512";"6986";"7661";"9133";"9850";"9899";"10426";"10600";"10571";"13610";"15720";"16830";"16110";"19778"
"Giruá (RS)";"3905";"4872";"4771";"4817";"3800";"3120";"2865";"2850";"3300";"3260";"3573";"3146";"4135";"4000";"8500";"8702";"8810";"8910";"8500";"8745";"9630";"9750";"18000";"10200";"10200";"10250";"10225";"11000";"10573";"10554";"10611";"9750";"9800";"12800";"13120";"12905";"12942";"12996";"13040";"15000";"18500";"19500";"21000";"19000"
"Glorinha (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"847";"851";"821";"790";"815";"830";"845";"4420";"4415";"4500";"4550";"4700";"4750";"4850";"4850";"4850";"4400";"4150";"4180";"3762";"4060";"3662";"3542";"3168";"2584";"2248";"2223";"2110";"2431"
"Gramado (RS)";"2060";"2398";"2387";"2401";"2211";"3800";"5420";"2909";"5167";"2634";"2679";"2679";"2760";"2801";"2750";"2420";"2420";"2350";"2260";"1566";"1863";"896";"2229";"1964";"1964";"2088";"1990";"1104";"1643";"1544";"1621";"657";"668";"668";"688";"655";"662";"622";"610";"620";"605";"595";"1423";"1466"
"Gramado dos Loureiros (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2068";"480";"936";"1261";"1270";"1243";"1257";"1407";"1065";"1093";"1134";"1175";"1188";"1165";"1475";"1629";"1600";"1631";"1632";"2850";"2880";"2780";"2530";"3235";"3150"
"Gramado Xavier (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1";"103";"149";"823";"1008";"946";"974";"990";"1029";"1057";"1154";"464";"467";"467";"-";"-";"-";"-";"-";"350";"1386";"1600";"1500";"1215";"1200"
"Gravataí (RS)";"13852";"13949";"14197";"14279";"10918";"11800";"13965";"15360";"13949";"13804";"13877";"14413";"13982";"13300";"12700";"13250";"13280";"11160";"10140";"8163";"3833";"3630";"9269";"6242";"6132";"5822";"5554";"5320";"4894";"5214";"4921";"4306";"4101";"3691";"3083";"2990";"2850";"2541";"2540";"4449";"4440";"3300";"2600";"2634"
"Guabiju (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1727";"1748";"1837";"1929";"2097";"2202";"2186";"2333";"1780";"2011";"2093";"2128";"2243";"5150";"5250";"9034";"8311";"8664";"7086";"10784";"10137";"9813";"10224";"9836";"2107";"16200";"20448";"21316";"18294"
"Guaíba (RS)";"3121";"3057";"3090";"3110";"8782";"6440";"7558";"8330";"7349";"10151";"10076";"10263";"8194";"8522";"8861";"6472";"858";"965";"990";"3600";"3690";"-";"1160";"920";"920";"935";"1047";"1238";"1424";"1407";"1478";"1085";"1106";"370";"331";"9607";"10255";"21257";"14463";"21307";"21248";"30125";"14920";"16254"
"Guaporé (RS)";"5769";"6578";"6720";"6716";"5332";"5760";"7174";"7085";"7626";"7630";"8050";"8070";"8902";"9106";"9535";"5451";"5642";"5715";"5847";"3648";"3711";"3883";"4743";"4934";"5051";"5420";"5481";"7888";"8251";"8250";"8231";"8121";"8283";"8977";"19620";"20651";"21972";"22100";"23014";"22670";"22505";"22603";"21943";"16750"
"Guarani das Missões (RS)";"1474";"1455";"1436";"1428";"1431";"1125";"1570";"1351";"2270";"2325";"2366";"2075";"2800";"2600";"2750";"4536";"3900";"3930";"3500";"3577";"3800";"3950";"7580";"7100";"7100";"7050";"7080";"7100";"6932";"6934";"7170";"6500";"7500";"9000";"9060";"9022";"9038";"8971";"9101";"10500";"11000";"12500";"12000";"15400"
"Harmonia (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1204";"1190";"1196";"1253";"1241";"1278";"1341";"1273";"1244";"1279";"1287";"1295";"1302";"1307";"1311";"1316";"1303";"1326";"1333";"1340";"1346";"1299";"1327";"2929";"3140";"3142";"2623";"2719";"550"
"Herveiras (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"505";"505";"515";"530";"506";"482";"491";"504";"486";"488";"554";"554";"575";"584";"580";"590";"650";"650";"660";"600";"595"
"Horizontina (RS)";"4366";"4334";"4256";"4306";"3277";"3069";"3920";"3151";"3687";"2105";"2129";"2044";"2394";"2400";"5942";"3832";"4036";"4000";"5743";"4833";"5499";"6816";"9001";"9133";"8241";"9634";"9672";"11588";"10680";"9864";"10357";"10529";"11371";"11427";"12455";"13576";"14600";"15476";"16297";"19800";"20691";"21647";"21900";"14552"
"Hulha Negra (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"7748";"8160";"8511";"8795";"6997";"7011";"6659";"6597";"6497";"6528";"6736";"6912";"6814";"7024";"7025";"6938";"7007";"7078";"7149";"7292";"13900";"13928";"13573";"13843";"13566"
"Humaitá (RS)";"2251";"2241";"2214";"2198";"2760";"3506";"4375";"2902";"4375";"3215";"3201";"3118";"3937";"3913";"4400";"2652";"2716";"2720";"3875";"4101";"4117";"4281";"5280";"5425";"5350";"5885";"9000";"11290";"11000";"8500";"9100";"10000";"11000";"11000";"12600";"13000";"13500";"14000";"18500";"19500";"20000";"16000";"18500";"22330"
"Ibarama (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"680";"686";"687";"688";"696";"724";"732";"1058";"1758";"1763";"1760";"1770";"1244";"1249";"1208";"1208";"1214";"1210";"1184";"1204";"1212";"1216";"1222";"1203";"1220";"1301";"1000";"950";"900"
"Ibiaçá (RS)";"1089";"1032";"1041";"1049";"1320";"1000";"1328";"1329";"1371";"812";"804";"863";"744";"995";"1539";"1444";"2070";"2093";"2350";"2488";"2725";"2829";"4759";"4563";"4934";"5132";"6198";"5480";"5973";"6005";"7026";"7473";"7850";"9706";"10109";"10281";"10693";"10171";"9600";"15015";"15500";"12720";"12663";"13000"
"Ibiraiaras (RS)";"1520";"1806";"1833";"1849";"1683";"1135";"2300";"2365";"2439";"2481";"2622";"2605";"2831";"2843";"2830";"2919";"2800";"2800";"3150";"3654";"3500";"6171";"5891";"6661";"6928";"6696";"6168";"5695";"8963";"9231";"17425";"14052";"13012";"21487";"20359";"20611";"20898";"24000";"23400";"24700";"25200";"33179";"22389";"19740"
"Ibirapuitã (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1900";"1512";"3891";"3778";"3770";"2141";"3460";"2970";"3115";"3177";"3045";"3872";"4275";"4457";"5947";"5177";"3080";"8973";"11786";"12136";"14148";"14458";"14792";"16430";"16468";"17615";"17764";"18511";"19115"
"Ibirubá (RS)";"2171";"2828";"2620";"2675";"2729";"3520";"5768";"5920";"5845";"7150";"7317";"7168";"7235";"7239";"6589";"4744";"7656";"9485";"13458";"14239";"15731";"17374";"18394";"19985";"19300";"20932";"21550";"21892";"20116";"20012";"23930";"26818";"27000";"32300";"32500";"38300";"39980";"40060";"41262";"50621";"51722";"52200";"62813";"62910"
"Igrejinha (RS)";"2265";"2330";"2359";"2380";"1904";"2500";"3402";"3266";"3310";"1465";"1577";"1607";"1358";"1221";"1198";"822";"767";"752";"721";"686";"683";"737";"1093";"1122";"1079";"1190";"1121";"1093";"1436";"1510";"1465";"1497";"1541";"1511";"1339";"1340";"780";"1174";"1117";"1085";"1176";"1187";"1192";"939"
"Ijuí (RS)";"5306";"5012";"4878";"4809";"4300";"4680";"8169";"8227";"10204";"10403";"10929";"10868";"12525";"13710";"13339";"13968";"14393";"13685";"13080";"10987";"16684";"16979";"22000";"22000";"21500";"23000";"25000";"22000";"20000";"18000";"18500";"19800";"29000";"25000";"29000";"31000";"35500";"52000";"50000";"52000";"60000";"52000";"47000";"45400"
"Ilópolis (RS)";"469";"724";"760";"760";"546";"692";"874";"829";"831";"831";"876";"886";"1027";"1051";"866";"918";"1001";"971";"988";"1011";"1029";"1275";"1513";"1611";"1655";"1666";"1620";"1800";"1860";"2122";"2105";"2066";"2107";"3610";"3542";"3545";"3816";"3976";"4000";"4180";"4125";"4022";"3841";"3470"
"Imbé (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"44";"44";"43";"40";"40";"40";"40";"28";"22";"23";"20";"21";"21";"21";"21";"22";"23";"23";"23";"20";"22";"22";"31";"30";"27";"32";"29";"26";"25"
"Imigrante (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3418";"3536";"3833";"4405";"4515";"5400";"5475";"6208";"6300";"6130";"6242";"7090";"3700";"4530";"3650";"6900";"5880";"9206";"6228";"7148";"6624";"6555";"7000";"8830";"8130";"7700";"7780";"8200";"7500"
"Independência (RS)";"1615";"1613";"1541";"1564";"1565";"1820";"2559";"2004";"2407";"3301";"3340";"3652";"4143";"4199";"3623";"4234";"4024";"4000";"4759";"3966";"4372";"5512";"7531";"7591";"6705";"8740";"8400";"7616";"7571";"4430";"5961";"5942";"6298";"7238";"8034";"8596";"22728";"23769";"14755";"15936";"16425";"23251";"23018";"11639"
"Inhacorá (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"338";"371";"960";"1600";"1900";"1700";"1900";"2100";"2100";"1900";"1700";"1750";"1850";"1554";"1800";"1850";"2210";"2550";"2700";"2600";"2500";"2400";"2500";"2800";"3000"
"Ipê (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"11898";"11538";"10961";"10289";"10166";"10280";"10331";"4279";"4300";"4240";"4320";"4234";"4394";"4550";"4778";"4745";"4471";"4784";"5502";"6042";"6163";"6400";"6300";"6000";"6080";"7000";"7651";"8240";"7335"
"Ipiranga do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1316";"1566";"1650";"1735";"1670";"1921";"1936";"2288";"2315";"2161";"2421";"2761";"3201";"3168";"3172";"3497";"4055";"4448";"6120";"6304";"6335";"6514";"6574";"6529";"11360";"12000";"9180";"8640";"10000"
"Iraí (RS)";"2968";"2542";"2600";"2617";"1966";"1350";"1888";"1950";"2010";"2070";"2170";"2149";"2060";"2058";"2841";"4784";"4786";"4755";"4770";"5210";"6016";"6035";"3354";"3973";"4470";"4525";"4570";"4566";"4595";"4611";"4650";"4660";"4663";"5129";"5142";"5148";"4914";"4896";"5630";"7015";"10000";"12000";"10000";"9174"
"Itaara (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1129";"1141";"1157";"1144";"1158";"1152";"1160";"859";"829";"621";"619";"646";"655";"645";"638";"636";"575";"73";"365";"365";"350"
"Itacurubi (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1139";"1291";"1278";"1474";"1483";"1456";"1486";"841";"927";"876";"823";"899";"971";"1145";"1242";"1304";"1377";"1453";"1743";"1915";"1828";"1860";"1879";"1912";"1925";"1883";"1998";"2052";"1905"
"Itapuca (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3420";"3435";"3393";"2685";"2396";"2470";"2456";"2511";"3080";"3125";"2920";"2874";"2976";"3035";"3296";"3276";"3280";"3364";"3353";"3400";"3520";"3444";"3586";"3546";"3580"
"Itaqui (RS)";"2703";"2121";"2031";"2059";"6494";"4779";"4022";"4269";"4195";"5034";"5514";"5845";"5455";"5290";"5597";"3056";"2570";"2330";"1980";"1610";"1679";"1941";"2980";"1809";"1939";"2310";"2656";"2938";"3084";"3379";"3582";"3392";"3173";"2907";"3162";"3379";"3081";"2859";"2796";"2578";"2043";"1655";"1563";"1430"
"Itati (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"225";"228";"228";"226";"226";"221";"221";"199";"202";"180";"206";"195";"193";"164";"189";"184";"197"
"Itatiba do Sul (RS)";"1924";"2017";"2084";"2093";"1600";"1500";"1922";"1923";"1999";"1980";"2142";"2173";"2447";"2456";"3532";"3620";"3627";"3574";"3610";"3639";"3600";"3770";"3201";"3200";"3200";"2762";"2743";"3239";"3291";"3369";"3409";"3592";"3771";"8989";"8957";"9013";"8031";"8173";"8058";"4870";"4080";"4200";"3800";"3750"
"Ivorá (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1108";"1156";"1152";"1184";"1520";"1548";"1577";"1725";"1827";"1810";"1801";"1690";"1853";"1867";"1592";"1365";"1068";"812";"826";"917";"945";"928";"912";"961";"2510";"2500";"2480";"2200";"2150"
"Ivoti (RS)";"1864";"2283";"2256";"2263";"2180";"2570";"4457";"4805";"4582";"2840";"2873";"2861";"3122";"1828";"2379";"2107";"2298";"2238";"2246";"864";"662";"672";"1241";"691";"756";"792";"895";"1749";"2013";"2105";"2137";"1953";"1308";"1561";"1343";"907";"907";"869";"818";"876";"869";"789";"795";"818"
